Date,ADBE,BA,CAT,COST,CSCO,CVS,GS,HD,HON,INTC,MCD,MDLZ,NKE,ORCL,PEP,PM,QCOM,T,TXN,UNH,^GSPC
2021-08-01,663.7000122070312,219.5,195.23521423339844,434.1738586425781,52.382484436035156,75.51004791259766,371.7180480957031,293.9999694824219,212.50961303710938,49.47108459472656,215.6050262451172,56.25419998168945,155.01629638671875,84.26997375488281,137.42933654785156,84.49081420898438,133.69508361816406,16.038558959960938,169.98733520507812,389.0635070800781,4522.68017578125
2021-09-01,575.719970703125,219.94000244140625,177.73654174804688,428.3212585449219,48.308685302734375,74.17271423339844,341.47509765625,295.8747863769531,195.29736328125,49.074134826660156,220.11929321289062,52.72868347167969,136.88336181640625,82.3790283203125,132.1743621826172,77.75614166259766,117.55398559570312,15.798737525939941,171.14483642578125,365.2020568847656,4307.5400390625
2021-10-01,650.3599853515625,207.02999877929688,188.88388061523438,468.536865234375,49.67549514770508,78.03607940673828,373.379638671875,336.7686462402344,201.1301727294922,45.13199996948242,224.1727294921875,55.3790168762207,157.67552185058594,90.70865631103516,142.98104858398438,78.50841522216797,121.81901550292969,14.775128364562988,166.93319702148438,431.8853454589844,4605.3798828125
2021-11-01,669.8499755859375,197.85000610351562,180.00267028808594,514.9697875976562,49.00138854980469,78.29608917236328,344.1488037109375,362.9227294921875,186.06060791015625,45.31621170043945,223.3054656982422,53.73788833618164,159.5134735107422,86.09063720703125,141.3707275390625,71.36672973632812,165.33106994628906,13.69912052154541,172.34225463867188,416.64410400390625,4567.0
2021-12-01,567.0599975585938,201.32000732421875,192.4683380126953,542.0081176757812,56.62322235107422,90.69195556640625,345.5580139160156,375.9680480957031,192.65794372558594,47.76451873779297,246.08892822265625,60.4573974609375,157.09117126464844,82.74151611328125,153.69580078125,78.8904037475586,167.4462127685547,14.76120376586914,168.84825134277344,470.9686584472656,4766.18017578125
2022-01-01,534.2999877929688,200.24000549316406,187.6459197998047,482.26983642578125,49.743011474609375,93.63707733154297,322.0736389160156,333.8314208984375,188.93434143066406,45.278907775878906,238.17578125,61.43784713745117,139.8109893798828,77.00149536132812,154.56512451171875,86.57232666015625,161.5442657470703,15.301246643066406,160.8031768798828,444.67987060546875,4515.5498046875
2022-02-01,467.67999267578125,205.33999633789062,175.47833251953125,495.7507019042969,50.126014709472656,91.60978698730469,309.9147033691406,287.3016662597656,175.32420349121094,44.24014663696289,224.69947814941406,60.01716232299805,128.9335479736328,72.34518432617188,145.85348510742188,85.07405090332031,158.0792236328125,14.600140571594238,153.30072021484375,447.78509521484375,4373.93994140625
2022-03-01,455.6199951171875,191.5,208.44488525390625,550.6226806640625,50.11701965332031,89.4532241821289,299.75341796875,272.2921142578125,180.77694702148438,46.31538772583008,228.2664794921875,57.54240798950195,127.05453491210938,78.78263092041016,149.09584045410156,79.0724868774414,140.45968627929688,14.563163757324219,165.46630859375,479.87261962890625,4530.41015625
2022-04-01,395.95001220703125,148.83999633789062,196.9570770263672,508.42584228515625,44.023170471191406,84.96332550048828,279.041015625,274.9145812988281,179.78282165527344,40.73623275756836,230.00193786621094,59.43045425415039,118.01318359375,69.89781188964844,153.9588623046875,85.31210327148438,128.92726135253906,15.38940143585205,153.5352020263672,479.9524230957031,4131.93017578125
2022-05-01,416.4800109863281,131.39999389648438,202.89285278320312,446.5206298828125,40.76817321777344,85.9546127319336,298.5516662597656,277.0652160644531,179.88502502441406,41.51188659667969,232.8173828125,58.582489013671875,112.47687530517578,68.75634002685547,150.40821838378906,90.64411926269531,132.18531799316406,17.62270164489746,159.40606689453125,468.84429931640625,4132.14990234375
2022-06-01,366.05999755859375,136.72000122070312,168.02932739257812,459.0288391113281,38.58723068237305,82.32098388671875,272.9658508300781,251.00137329101562,162.30870056152344,35.23717498779297,227.89723205566406,57.227603912353516,96.71971130371094,66.79651641845703,149.43087768554688,84.23716735839844,117.89799499511719,17.349544525146484,139.5071258544922,484.7468566894531,3785.3798828125
2022-07-01,410.1199951171875,159.30999755859375,186.349365234375,518.4282836914062,41.057762145996094,85.00401306152344,306.3904113769531,277.1481018066406,179.72459411621094,34.201072692871094,244.46670532226562,59.36152648925781,109.02706909179688,74.41593933105469,157.96397399902344,83.9206771850586,134.58834838867188,15.545059204101562,162.4239044189453,513.667724609375,4130.2900390625
2022-08-01,373.44000244140625,160.25,174.83145141601562,500.90264892578125,40.83378219604492,87.70537567138672,305.72869873046875,265.6179504394531,176.8203887939453,30.0660457611084,234.1726837158203,57.34079360961914,100.99140167236328,71.2052993774414,155.53529357910156,82.4867172241211,122.72161865234375,14.712031364440918,150.99107360839844,491.87420654296875,3955.0
2022-09-01,275.20001220703125,121.08000183105469,155.3047637939453,453.0958251953125,36.523956298828125,85.22120666503906,271.3506774902344,255.78265380859375,156.69992065429688,24.518293380737305,215.35108947753906,50.824371337890625,78.85772705078125,58.64474105834961,147.4005584716797,71.70616149902344,105.41232299804688,12.866737365722656,141.45875549316406,478.3396301269531,3585.6201171875
2022-10-01,318.5,142.50999450683594,204.88339233398438,481.1389465332031,41.482086181640625,84.62250518798828,319.000244140625,274.497802734375,191.47103881835938,27.049091339111328,254.47531127929688,57.368438720703125,88.18006896972656,74.9696273803711,165.04261779785156,80.4758529663086,109.77886199951172,15.290785789489746,146.80526733398438,527.4502563476562,3871.97998046875
